,popularity,budget,revenue,original_title,cast,director,runtime,genres,production_companies,vote_count,vote_average,release_year,release_day,release_month,season
0,32.985763,150000000,1513528810,Jurassic World,Chris Pratt,Colin Trevorrow,124,Action,Universal Studios,5562,6.5,2015,Tuesday,June,Summer
1,28.419936,150000000,378436354,Mad Max: Fury Road,Tom Hardy,George Miller,120,Action,Village Roadshow Pictures,6185,7.1,2015,Wednesday,May,Spring
2,13.112507,110000000,295238201,Insurgent,Shailene Woodley,Robert Schwentke,119,Adventure,Summit Entertainment,2480,6.3,2015,Wednesday,March,Spring
3,11.173103999999999,200000000,2068178225,Star Wars: The Force Awakens,Harrison Ford,J.J. Abrams,136,Action,Lucasfilm,5292,7.5,2015,Tuesday,December,Winter
4,9.335014,190000000,1506249360,Furious 7,Vin Diesel,James Wan,137,Action,Universal Pictures,2947,7.3,2015,Wednesday,April,Spring
5,9.1107,135000000,532950503,The Revenant,Leonardo DiCaprio,Alejandro GonzÃ¡lez IÃ±Ã¡rritu,156,Western,Regency Enterprises,3929,7.2,2015,Friday,December,Winter
6,8.654359,155000000,440603537,Terminator Genisys,Arnold Schwarzenegger,Alan Taylor,125,Science Fiction,Paramount Pictures,2598,5.8,2015,Tuesday,June,Summer
7,7.6674,108000000,595380321,The Martian,Matt Damon,Ridley Scott,141,Drama,Twentieth Century Fox Film Corporation,4572,7.6,2015,Wednesday,September,Fall
8,7.40416499999999,74000000,1156730962,Minions,Sandra Bullock,Kyle Balda|Pierre Coffin,91,Family,Universal Pictures,2893,6.5,2015,Wednesday,June,Summer
9,6.326804,175000000,853708609,Inside Out,Amy Poehler,Pete Docter,94,Comedy,Walt Disney Pictures,3935,8.0,2015,Tuesday,June,Summer
10,6.200282,245000000,880674609,Spectre,Daniel Craig,Sam Mendes,148,Action,Columbia Pictures,3254,6.2,2015,Monday,October,Fall
11,6.189369,176000003,183987723,Jupiter Ascending,Mila Kunis,Lana Wachowski|Lilly Wachowski,124,Science Fiction,Village Roadshow Pictures,1937,5.2,2015,Wednesday,February,Winter
12,6.118847,15000000,36869414,Ex Machina,Domhnall Gleeson,Alex Garland,108,Drama,DNA Films,2854,7.6,2015,Wednesday,January,Winter
13,5.984995,88000000,243637091,Pixels,Adam Sandler,Chris Columbus,105,Action,Columbia Pictures,1575,5.8,2015,Thursday,July,Summer
14,5.944927,280000000,1405035767,Avengers: Age of Ultron,Robert Downey Jr.,Joss Whedon,141,Action,Marvel Studios,4304,7.4,2015,Wednesday,April,Spring
15,5.8984,44000000,155760117,The Hateful Eight,Samuel L. Jackson,Quentin Tarantino,167,Crime,Double Feature Films,2389,7.4,2015,Friday,December,Winter
16,5.749758,48000000,325771424,Taken 3,Liam Neeson,Olivier Megaton,109,Crime,Twentieth Century Fox Film Corporation,1578,6.1,2015,Thursday,January,Winter
17,5.5731839999999995,130000000,518602163,Ant-Man,Paul Rudd,Peyton Reed,115,Science Fiction,Marvel Studios,3779,7.0,2015,Tuesday,July,Summer
19,5.476958,160000000,650523427,The Hunger Games: Mockingjay - Part 2,Jennifer Lawrence,Francis Lawrence,136,War,Studio Babelsberg,2380,6.5,2015,Wednesday,November,Fall
20,5.4621379999999995,190000000,209035668,Tomorrowland,Britt Robertson,Brad Bird,130,Action,Walt Disney Pictures,1899,6.2,2015,Tuesday,May,Spring
22,4.907832,110000000,470490832,San Andreas,Dwayne Johnson,Brad Peyton,114,Action,New Line Cinema,2060,6.1,2015,Wednesday,May,Spring
23,4.71040199999999,40000000,569651467,Fifty Shades of Grey,Dakota Johnson,Sam Taylor-Johnson,125,Drama,Focus Features,1865,5.3,2015,Wednesday,February,Winter
24,4.648046,28000000,133346506,The Big Short,Christian Bale,Adam McKay,130,Comedy,Paramount Pictures,1545,7.3,2015,Friday,December,Winter
25,4.566713,150000000,682330139,Mission: Impossible - Rogue Nation,Tom Cruise,Christopher McQuarrie,131,Action,Paramount Pictures,2349,7.1,2015,Thursday,July,Summer
27,4.503789,81000000,403802136,Kingsman: The Secret Service,Taron Egerton,Matthew Vaughn,130,Crime,Twentieth Century Fox Film Corporation,3833,7.6,2015,Saturday,January,Winter
28,4.062293,20000000,88346473,Spotlight,Mark Ruffalo,Tom McCarthy,128,Drama,Participant Media,1559,7.8,2015,Friday,November,Fall
29,3.968891,61000000,311256926,Maze Runner: The Scorch Trials,Dylan O'Brien,Wes Ball,132,Action,Gotham Group,1849,6.4,2015,Wednesday,September,Fall
31,3.899557,49000000,102069268,Chappie,Sharlto Copley,Neill Blomkamp,120,Crime,Columbia Pictures,1990,6.6,2015,Wednesday,March,Spring
34,3.6445410000000003,58000000,150170815,Goosebumps,Jack Black,Rob Letterman,103,Adventure,Columbia Pictures,600,6.2,2015,Wednesday,August,Summer
35,3.557846,6000000,35401758,Room,Brie Larson,Lenny Abrahamson,117,Drama,Element Pictures,1520,8.0,2015,Friday,October,Fall
37,3.3391349999999997,175000000,331926147,The Good Dinosaur,Raymond Ochoa,Peter Sohn,93,Adventure,Walt Disney Pictures,1087,6.6,2015,Saturday,November,Fall
39,3.227329,11000000,62076141,Brooklyn,Saoirse Ronan,John Crowley,111,Drama,Wildgaze Films,754,7.3,2015,Wednesday,November,Fall
40,3.2027189999999996,28000000,201634991,Straight Outta Compton,O'Shea Jackson Jr.,F. Gary Gray,147,Drama,New Line Cinema,918,7.7,2015,Thursday,August,Summer
41,3.080505,90000000,140396650,The Last Witch Hunter,Vin Diesel,Breck Eisner,106,Fantasy,Summit Entertainment,879,5.6,2015,Wednesday,October,Fall
44,3.025852,25000000,42629776,The Age of Adaline,Blake Lively,Lee Toland Krieger,112,Fantasy,Lakeshore Entertainment,1221,7.3,2015,Thursday,April,Spring
45,3.023253,10000000,14333790,Hardcore Henry,Sharlto Copley,Ilya Naishuller,97,Action,Bazelevs Production,396,5.9,2015,Saturday,September,Fall
46,2.976436,135000000,368871007,Home,Jim Parsons,Tim Johnson,94,Fantasy,Twentieth Century Fox Film Corporation,1060,6.9,2015,Wednesday,March,Spring
49,2.8851259999999996,4000000,9064511,The Lobster,Colin Farrell,Yorgos Lanthimos,118,Thriller,Haut et Court,638,6.6,2015,Thursday,October,Fall
50,2.883233,11800000,40272135,Carol,Cate Blanchett,Todd Haynes,118,Romance,Killer Films,562,7.1,2015,Friday,November,Fall
51,2.8148020000000002,35000000,194564672,The Intern,Robert De Niro,Nancy Meyers,121,Comedy,Waverly Films,1255,7.1,2015,Thursday,September,Fall
52,2.7980169999999998,55000000,203427584,Everest,Jason Clarke,Baltasar KormÃ¡kur,121,Adventure,Universal Pictures,1172,6.7,2015,Thursday,September,Fall
54,2.6144990000000004,105000000,133718711,Point Break,Edgar RamÃ­rez,Ericson Core,114,Action,Studio Babelsberg,505,5.5,2015,Thursday,December,Winter
55,2.584264,20000000,36606743,Burnt,Bradley Cooper,John Wells,100,Drama,Double Feature Films,631,6.3,2015,Friday,October,Fall
56,2.578919,26000000,30523226,Self/less,Ryan Reynolds,Tarsem Singh,116,Science Fiction,Endgame Entertainment,719,6.2,2015,Friday,July,Summer
57,2.575711,60000000,30418560,Mortdecai,Johnny Depp,David Koepp,106,Comedy,Lionsgate,696,5.3,2015,Wednesday,January,Winter
59,2.5507470000000003,70000000,17752940,Blackhat,Chris Hemsworth,Michael Mann,133,Mystery,Universal Pictures,584,5.0,2015,Tuesday,January,Winter
61,2.4870419999999998,120000001,167977596,Fantastic Four,Miles Teller,Josh Trank,100,Action,Twentieth Century Fox Film Corporation,1565,4.4,2015,Wednesday,August,Summer
62,2.46449,3500000,40423945,The Witch,Anya Taylor-Joy,Robert Eggers,92,Mystery,Parts and Labor,700,5.8,2015,Tuesday,March,Spring
63,2.404473,65000000,235666219,Spy,Melissa McCarthy,Paul Feig,120,Action,Twentieth Century Fox Film Corporation,1840,6.9,2015,Wednesday,May,Spring
64,2.395366,50100000,153962963,Focus,Will Smith,Glenn Ficarra|John Requa,105,Romance,Kramer & Sigman Films,1831,6.7,2015,Wednesday,February,Winter
65,2.354654,35000000,82347656,Hitman: Agent 47,Rupert Friend,Aleksander Bach,96,Action,Twentieth Century Fox Film Corporation,820,5.5,2015,Thursday,August,Summer
66,2.345821,100000000,93820758,In the Heart of the Sea,Chris Hemsworth,Ron Howard,122,Thriller,Imagine Entertainment,805,6.4,2015,Friday,November,Fall
68,2.3315669999999997,35000000,137935567,Creed,Michael B. Jordan,Ryan Coogler,133,Drama,New Line Cinema,1171,7.3,2015,Wednesday,November,Fall
71,2.28135,25000000,42972994,Legend,Tom Hardy,Brian Helgeland,131,Crime,Working Title Films,619,6.7,2015,Wednesday,September,Fall
76,2.140199,99000000,246233113,The Peanuts Movie,Noah Schnapp,Steve Martino,88,Adventure,Blue Sky Studios,414,6.4,2015,Thursday,November,Fall
77,2.121884,35000000,48623572,Concussion,Will Smith,Peter Landesman,123,Drama,Village Roadshow Pictures,500,6.9,2015,Thursday,November,Fall
78,2.096273,25000000,52395996,The Night Before,Joseph Gordon-Levitt,Jonathan Levine,100,Comedy,Sony Pictures,363,6.1,2015,Friday,November,Fall
79,2.0809349999999998,2500000,5214043,Knock Knock,Keanu Reeves,Eli Roth,99,Drama,Universum Film (UFA),473,4.8,2015,Friday,June,Summer
82,2.055572,17000000,24000000,Love the Coopers,Steve Martin,Jessie Nelson,107,Family,Imagine Entertainment,111,5.3,2015,Thursday,November,Fall
83,2.049886,35000000,61181942,The Walk,Joseph Gordon-Levitt,Robert Zemeckis,123,Adventure,TriStar Pictures,706,6.8,2015,Wednesday,September,Fall
84,2.0266509999999998,11000000,1863315,Tracers,Marie Avgeropoulos,Daniel Benmayor,94,Action,Temple Hill Entertainment,326,5.9,2015,Thursday,January,Winter
87,1.9800389999999999,4000000,187112,Maggie,Arnold Schwarzenegger,Henry Hobson,95,Horror,Lionsgate,384,5.1,2015,Friday,May,Spring
90,1.926739,5000000,58978653,The Gift,Jason Bateman,Joel Edgerton,108,Thriller,Blumhouse Productions,631,6.6,2015,Thursday,July,Summer
91,1.904898,50000000,240360392,Daddy's Home,Will Ferrell,Sean Anders,96,Comedy,Paramount Pictures,568,5.7,2015,Friday,December,Winter
94,1.865007,64000000,97571250,The Little Prince,Jeff Bridges,Mark Osborne,92,Adventure,Onyx Films,423,7.5,2015,Wednesday,July,Summer
96,1.82313,11930000,18340000,The Dressmaker,Kate Winslet,Jocelyn Moorhouse,118,Drama,Amazon Studios,197,6.9,2015,Thursday,October,Fall
97,1.758618,8500000,43528634,The DUFF,Mae Whitman,Ari Sandel,100,Romance,Wonderland Sound and Vision,753,6.8,2015,Friday,February,Winter
98,1.742286,10000000,52882018,Sinister 2,Shannyn Sossamon,Ciaran Foy,97,Horror,Alliance Films,331,5.5,2015,Wednesday,August,Summer
102,1.6510779999999898,4000000,50163103,The Boy Next Door,Jennifer Lopez,Rob Cohen,91,Thriller,Universal Pictures,810,3.9,2015,Friday,January,Winter
106,1.499614,15000000,14860766,Scouts Guide to the Zombie Apocalypse,Tye Sheridan,Christopher B. Landon,93,Comedy,Paramount Pictures,288,6.2,2015,Friday,October,Fall
107,1.495112,5000000,98450062,The Visit,Olivia DeJonge,M. Night Shyamalan,94,Horror,Blumhouse Productions,729,5.9,2015,Thursday,September,Fall
110,1.448002,15000000,61548707,Krampus,Adam Scott,Michael Dougherty,98,Horror,Universal Pictures,342,5.9,2015,Thursday,November,Fall
111,1.443406,20000000,208588,Dark Places,Charlize Theron,Gilles Paquet-Brenner,113,Drama,Denver and Delilah Productions,322,5.7,2015,Tuesday,March,Spring
112,1.41239,5000000,54418872,No Escape,Owen Wilson,John Erick Dowdle,103,Action,Bold Films,519,6.7,2015,Wednesday,August,Summer
113,1.40805,700000,17986781,Dope,Shameik Moore,Rick Famuyiwa,103,Crime,Forest Whitaker's Significant Productions,448,7.3,2015,Friday,June,Summer
115,1.388032,11000000,61619773,Woman in Gold,Helen Mirren,Simon Curtis,120,Drama,BBC Films,277,7.3,2015,Friday,April,Spring
117,1.3766049999999999,30000000,105011053,Sisters,Tina Fey,Jason Moore,118,Comedy,Little Stranger,399,5.9,2015,Friday,December,Winter
118,1.360926,12000000,32248241,Project Almanac,Jonny Weston,Dean Israelite,106,Science Fiction,Paramount Pictures,637,6.3,2015,Friday,January,Winter
120,1.3558219999999999,25000000,72629670,The Transporter Refueled,Ed Skrein,Camille Delamarre,96,Thriller,EuropaCorp,407,5.3,2015,Thursday,September,Fall
121,1.345982,55000000,74679822,Crimson Peak,Mia Wasikowska,Guillermo del Toro,119,Mystery,Legendary Pictures,819,6.4,2015,Tuesday,October,Fall
127,1.315266,19500000,32189727,Secret in Their Eyes,Chiwetel Ejiofor,Billy Ray,111,Crime,Ingenious Media,202,6.2,2015,Wednesday,October,Fall
129,1.291013,74000000,311594032,The SpongeBob Movie: Sponge Out of Water,Tom Kenny,Paul Tibbitt,93,Family,Paramount Pictures,533,5.7,2015,Thursday,February,Winter
138,1.1647239999999999,10000000,104303851,Insidious: Chapter 3,Dermot Mulroney,Leigh Whannell,97,Drama,Sony Pictures,610,6.3,2015,Thursday,June,Summer
141,1.142518,6000000,41387687,The Lady in the Van,Maggie Smith,Nicholas Hytner,104,Comedy,BBC Films,135,5.9,2015,Friday,November,Fall
142,1.138395,40000000,34227298,Victor Frankenstein,James McAvoy,Paul McGuigan,109,Drama,Twentieth Century Fox Film Corporation,408,5.5,2015,Tuesday,November,Fall
200,0.706023,7000000,573335,Freeheld,Julianne Moore,Peter Sollett,103,Romance,Double Feature Films,86,7.1,2015,Friday,October,Fall
206,0.6895789999999989,15000000,3020664,Rock the Kasbah,Bill Murray,Barry Levinson,100,Comedy,Shangri-La Entertainment,56,5.1,2015,Thursday,October,Fall
208,0.6737920000000001,1000000,14444999,"Hello, My Name Is Doris",Sally Field,Michael Showalter,95,Comedy,Red Crown Productions,87,6.6,2015,Friday,November,Fall
225,0.599655,3300000,64110728,The Lazarus Effect,Olivia Wilde,David Gelb,83,Thriller,Lionsgate,327,4.9,2015,Thursday,January,Winter
242,0.532205,100000,42664410,The Gallows,Cassidy Gifford,Travis Cluff|Chris Lofing,87,Horror,New Line Cinema,247,5.0,2015,Friday,July,Summer
287,0.43558199999999997,5000000,2333684,Jem and the Holograms,Aubrey Peeples,Jon M. Chu,119,Drama,Universal Pictures,69,5.7,2015,Thursday,October,Fall
492,0.7310220000000001,3000000,67790117,War Room,Priscilla C. Shirer,Alex Kendrick,120,Drama,Provident Films,57,6.9,2015,Friday,August,Summer
583,0.07610900000000001,13500000,187674,Stonewall,Jeremy Irvine,Roland Emmerich,129,Drama,Centropolis Entertainment,14,5.6,2015,Friday,September,Fall
629,24.949134,165000000,621752480,Interstellar,Matthew McConaughey,Christopher Nolan,169,Adventure,Paramount Pictures,6498,8.0,2014,Wednesday,November,Fall
630,14.311205,170000000,773312399,Guardians of the Galaxy,Chris Pratt,James Gunn,121,Action,Marvel Studios,5612,7.9,2014,Wednesday,July,Summer
